idArticulo,dsArticulo,marca_linea,proveedor_ref,grupo,familia,linea
85774,MC CAIN PICKERS AROS DE CEBOLLA X 1 KG,MC CAIN FOOD,MC CAIN ARGENTINA SA,CONGELADOS,PICKERS,MC CAIN FOOD SERVICE
86109,MC CAIN TRAD X 400 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA,CONGELADOS,PAPAS,MC CAIN RETAIL
86110,MC CAIN AIRFRYER X700GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA,CONGELADOS,PAPAS,MC CAIN RETAIL
86570,"MC CAIN CRINKLE X 2,500 KG",MC CAIN FOOD,MC CAIN ARGENTINA SA,CONGELADOS,PAPAS,MC CAIN FOOD SERVICE
86572,MC CAIN GUACAMOLE X 450 GRS,MC CAIN FOOD,MC CAIN ARGENTINA SA,CONGELADOS,PICKERS,MC CAIN FOOD SERVICE
86576,MC CAIN PULPA DE PALTA X 450 GRS,MC CAIN FOOD,MC CAIN ARGENTINA SA,CONGELADOS,PICKERS,MC CAIN FOOD SERVICE
87407,"MC CAIN SURECRISP 9X9 X 2,500 KG",MC CAIN FOOD,MC CAIN ARGENTINA SA,CONGELADOS,PAPAS,MC CAIN FOOD SERVICE
87411,"MC CAIN SURECRISP 7X7 X 2,250 KG",MC CAIN FOOD,MC CAIN ARGENTINA SA,CONGELADOS,PAPAS,MC CAIN FOOD SERVICE
87470,"MC CAIN GAST X 2,500 KG",MC CAIN FOOD,MC CAIN ARGENTINA SA,CONGELADOS,PAPAS,MC CAIN FOOD SERVICE
89766,MC CAIN BITE ESP/QUESO. X 2 KG,MC CAIN FOOD,MC CAIN ARGENTINA SA,CONGELADOS,PICKERS,MC CAIN FOOD SERVICE
89777,MC CAIN TRIANGULO MOZZARELLA X 2 KG,MC CAIN FOOD,MC CAIN ARGENTINA SA,CONGELADOS,PICKERS,MC CAIN FOOD SERVICE
89778,MC CAIN BASTONES DE MOZZ X 2 KG,MC CAIN FOOD,MC CAIN ARGENTINA SA,CONGELADOS,PICKERS,MC CAIN FOOD SERVICE
92524,"Q. CHEDDAR POUCH X 3,5 KG MILKAUT",MILKAUT SA,MILKAUT SA,REFRIGERADOS,QUESOS,MILKAUT LACTEOS
92629,"Q. CREMATTO POUCH X 3,5 KG MILKAUT",MILKAUT SA,MILKAUT SA,REFRIGERADOS,QUESOS,MILKAUT LACTEOS
92688,CREMA DE LECHE 39% X 5 LT MILKAUT,MILKAUT SA,MILKAUT SA,REFRIGERADOS,LACTEOS,MILKAUT LACTEOS
92752,"Q. CHEDDAR EN FETAS X 2,37 KG MILKAUT",MILKAUT SA,MILKAUT SA,REFRIGERADOS,QUESOS,MILKAUT LACTEOS
100849,HAMB FINAS PALADINI 36 X 114 GRS,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,CONGELADOS,HAMBURGUESAS,SIN CATEGORIA
100854,JAMON NAT X KG L´ABRATTO,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI L´ABRATTO
100857,LOMO HORN C-HIERBAS X KG L´ ABRATTO,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI L´ABRATTO
100860,SALAME FUET X 150 GRS L´ABRATTO,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI L´ABRATTO
100940,PANCETA AHUM C-CUERO X KG PALADINI,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI REFRIGERADOS
100982,COSTILLA DE CERDO X KG PALADINI,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,CONGELADOS,CARNES,PALADINI CORTES DE CERDO
101136,JAMON CRU ESPUÑA X KG PALADINI,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI REFRIGERADOS
101137,JAMON CRU ESPUÑA 1/2 PALADINI X KG,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI REFRIGERADOS
101192,PECHITO CON MANTO X KG PALADINI,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,CONGELADOS,CARNES,PALADINI SUPERCONGELADOS
101224,HAMB CARNE 60 X 80 GRS PALADINI,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,CONGELADOS,HAMBURGUESAS,SIN CATEGORIA
101356,FIAMBRE DE CERDO X 6 KG PALADINI,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI REFRIGERADOS
102362,SALAME MILAN A/V X KG FELA,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,FELA REFRIGERADOS
102455,"FIAMBRE DE PATA X 4,5 KG PALADINI",FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI REFRIGERADOS
102482,MEDALLON POLLO  E/Q X 2 U PALADINI,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,CONGELADOS,MEDALLONES,PALADINI REBOZADOS
102483,MEDALLON POLLO J/Q X 2 U PALADINI,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,CONGELADOS,MEDALLONES,PALADINI REBOZADOS
102484,MEDALLON POLLO X 2 U PALADINI,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,CONGELADOS,MEDALLONES,PALADINI REBOZADOS
102644,HUMMUS CLASICO KAMAR X 230 GRS,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI REFRIGERADOS
102645,HUMMUS PIMENTÓN KAMAR X 230 GRS,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI REFRIGERADOS
102646,HUMMUS OLIVAS NEGRAS KAMAR X 230 GRS,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI REFRIGERADOS
102647,HUMMUS SESAMO Y AJO KAMAR X 230 GRS,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI REFRIGERADOS
102648,HUMMUS BABAGANOUSH KAMAR X 230 GRS,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI REFRIGERADOS
102649,HUMMUS GUACAMOLE KAMAR X 230 GRS,FRIGORIFICO PALADINI SA,FRIGORIFICO PALADINI SA,REFRIGERADOS,FIAMBRES,PALADINI REFRIGERADOS
202319,PANCETA AHUMADA C/C X KG LOS CALVOS,ESTABLECIMIENTO LOS CALVOS S.R.L,ESTABLECIMIENTO LOS CALVOS S.R.L,REFRIGERADOS,FIAMBRES,LOS CALVOS REFRIGERADOS
203009,SALCHICHAS X 6 U CARCARAÑA,FRIAR S.A CHACINADOS,FRIAR S. A,REFRIGERADOS,SALCHICHAS,FRIAR RETAIL
203030,HAMB GRANDE 40 X 110 GRS FRIAR,FRIAR S.A CONGELADOS,FRIAR S. A,CONGELADOS,HAMBURGUESAS,FRIAR RETAIL
203302,HAMB 4 X 80 GRS FRIAR,FRIAR S.A CONGELADOS,FRIAR S. A,CONGELADOS,HAMBURGUESAS,FRIAR RETAIL
203308,HAMB 24 X 198 GRS FRIAR,FRIAR S.A CONGELADOS,FRIAR S. A,CONGELADOS,HAMBURGUESAS,FRIAR RETAIL
203316,HAMB FINITO 2 X 55 GRS FRIAR,FRIAR S.A CONGELADOS,FRIAR S. A,CONGELADOS,HAMBURGUESAS,FRIAR RETAIL
203322,MEDALLON FINITO 2 X 55 GRS FRIAR,FRIAR S.A CONGELADOS,FRIAR S. A,CONGELADOS,HAMBURGUESAS,FRIAR RETAIL
203430,HAMB 2 X 80 GRS FRIAR,FRIAR S.A CONGELADOS,FRIAR S. A,CONGELADOS,HAMBURGUESAS,FRIAR RETAIL
203546,SALCHICHA LARGA X 375 GRS FRIAR,FRIAR S.A CHACINADOS,FRIAR S. A,REFRIGERADOS,SALCHICHAS,FRIAR RETAIL
203657,HAMB 40 X 125 GRS FRIAR,FRIAR S.A CONGELADOS,FRIAR S. A,CONGELADOS,HAMBURGUESAS,FRIAR RETAIL
203659,SALCHICHAS X 6 U FRIAR,FRIAR S.A CHACINADOS,FRIAR S. A,REFRIGERADOS,SALCHICHAS,FRIAR RETAIL
336111,Q. PARMESANO 1/2 HORMA X KG VAQUERO,CASARIAS S.A.,CASARIAS S.A.,REFRIGERADOS,QUESOS,VAQUERO QUESOS
336126,Q. REGGIANITO 1/2 HORMA X KG VAQUERO,CASARIAS S.A.,CASARIAS S.A.,REFRIGERADOS,QUESOS,VAQUERO QUESOS
336145,Q. SARDO X KG VAQUERO,CASARIAS S.A.,CASARIAS S.A.,REFRIGERADOS,QUESOS,VAQUERO QUESOS
336156,Q. PROVOLONE 1/2 HORMA X KG VAQUERO,CASARIAS S.A.,CASARIAS S.A.,REFRIGERADOS,QUESOS,VAQUERO QUESOS
336200,Q. PROVOLETA X KG VAQUERO,CASARIAS S.A.,CASARIAS S.A.,REFRIGERADOS,QUESOS,VAQUERO QUESOS
337001,SALAMIN PICADO FINO X KG CAGNOLI,CANOGLI,CANOGLI,REFRIGERADOS,FIAMBRES,CANOGLI REFRIGERADOS
337002,SALAMIN PICADO GRUESO X KG CAGNOLI,CANOGLI,CANOGLI,REFRIGERADOS,FIAMBRES,CANOGLI REFRIGERADOS
337010,SALAME MILAN X KG CAGNOLI,CANOGLI,CANOGLI,REFRIGERADOS,FIAMBRES,CANOGLI REFRIGERADOS
337016,SALAME FUET X 150 GRS CAGNOLI,CANOGLI,CANOGLI,REFRIGERADOS,FIAMBRES,CANOGLI REFRIGERADOS
337035,JAMON COCIDO CLAS X KG CAGNOLI,CANOGLI,CANOGLI,REFRIGERADOS,FIAMBRES,CANOGLI REFRIGERADOS
337038,FIAMBRE PATA CERDO X KG CAGNOLI,CANOGLI,CANOGLI,REFRIGERADOS,FIAMBRES,CANOGLI REFRIGERADOS
337058,LEBERWURST X 150 GRS CAGNOLI,CANOGLI,CANOGLI,REFRIGERADOS,FIAMBRES,CANOGLI REFRIGERADOS
337070,PANCETA AHUM C-CUERO X KG CAGNOLI,CANOGLI,CANOGLI,REFRIGERADOS,FIAMBRES,CANOGLI REFRIGERADOS
337075,MORT MINI X 300 GRS CAGNOLI,CANOGLI,CANOGLI,REFRIGERADOS,FIAMBRES,CANOGLI REFRIGERADOS
339056,GRASA BOVINO SACHET X 500 GRS,RAGSA S.A.,RAGSA S.A.,SECOS,SECOS,ESANI SECOS
339070,GRASA CERDO SACHET X 500 GRS,RAGSA S.A.,RAGSA S.A.,SECOS,SECOS,ESANI SECOS
615093,MIXYBAR VAINILLA X 1000 ML,FABBRI S.R.L,FABBRI S.R.L,SECOS,SECOS,FABBRI SECOS
635003,LIMON PG X 1KG,FABBRI S.R.L,FABBRI S.R.L,SECOS,PASTELERIA,FABBRI SECOS
