idArticulo,dsArticulo,marca_linea,proveedor_ref,grupo,familia,linea
6062,ARROZ C-LECHE X 180 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6072,Q. UNTABLE CHATEL CLAS TREGAR X 180 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6102,ARROZ C-LECHE Y DDL X 180 GRS,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6104,Q. FONTINA X KG TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL QUESOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,QUESOS,TREGAR QUESOS
6105,Q. UNTABLE CHATEL SALAME X 180 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6122,CREMA DE LECHE X 350 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6131,YOGURT CREM FRUT X 125 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6132,YOGURT CREM VAIN X 125 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6134,YOGURT CREM LIGHT FRUT X 125 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6136,YOGURT CREM LIGHT VAIN X 125 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6138,YOGURT FRUTAL FRUT X 160 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6139,YOGURT FRUTAL DUR X 160 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6140,YOGURT DESC FRUTAL FRUT X160 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6144,YOGURT BEBIBLE FRUT X 900 GRS,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6145,YOGURT BEBIBLE VAIN X 900 GRS,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
6146,YOGURT DESC FRUTAL DUR X 160 GRS TREGAR,GARCIA HNOS AGROINDUSTRIAL SRL LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL,REFRIGERADOS,LACTEOS,TREGAR LACTEOS
