dsArticulo,marca_linea,proveedor_ref
NUGGETS POLLO X 5 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
PANCETA AHUM C-CUERO X KG CAGNOLI,CANOGLI REFRIGERADOS,CANOGLI
PANCETA AHUM C-CUERO X KG PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
PANCETA AHUMADA C/C X KG LOS CALVOS,LOS CALVOS REFRIGERADOS,ESTABLECIMIENTO LOS CALVOS S.R.L
PATITA DE POLLO GRANGYS X 5KG,GRANGYS CONGELADOS,GONZALEZ PABLO
PECHITO CON MANTO X KG PALADINI,PALADINI SUPERCONGELADOS,FRIGORIFICO PALADINI SA
PECHUGUITAS CROCANTE X 6 KG SADIA,SADIA FOOD SERVICE,QUICKFOOD SA
PIZZA FUGAZZETTA 25CM X 449 GRS,GLUFREEZ CONGELADOS,GF ALIMENTOS S.R.L.
PIZZA JAMÓN Y PROVOLONE 25CM X 449 GRS,GLUFREEZ CONGELADOS,GF ALIMENTOS S.R.L.
PIZZA MUZZARELLA 25CM X 449 GRS,GLUFREEZ CONGELADOS,GF ALIMENTOS S.R.L.
POCHOCLO X 400 GRS GTA,GRANJA TRES ARROYOS RETAIL,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
POCHOCLO X 5 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
Q. AMERICANO X 140 U TONADITA,TONADITA,ELCOR S.A
Q. AMERICANO X 168 U TONADITA,TONADITA,ELCOR S.A
Q. AZUL X KG EMPERADOR,EMPERADOR QUESOS,SAVAZ S.R.L
Q. AZUL X KG TREGAR,TREGAR QUESOS,GARCIA HNOS AGROINDUSTRIAL SRL
Q. BARRA DAMBO X KG LA PAULINA,PAULINA LACTEOS,MOLFINO HNOS S.A.
Q. BLANCO CLAS X 290 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
Q. BLANCO LIGHT X 290 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
Q. CAMPO SABORIZADOS MIX NONNA PIA,NONNA PIA LACTEOS,PARRILAC S.R.L
Q. CHEDDAR DIP X 180 GRS TONADITA,TONADITA,ELCOR S.A
"Q. CHEDDAR EN FETAS X 2,37 KG MILKAUT",MILKAUT LACTEOS,MILKAUT SA
"Q. CHEDDAR POUCH X 3,5 KG MILKAUT",MILKAUT LACTEOS,MILKAUT SA
Q. CHEDDAR POUCH X 3.7 KG LA PAULINA,PAULINA LACTEOS,MOLFINO HNOS S.A.
Q. CHEDDAR POUCH X 3KG TONADITA,TONADITA,ELCOR S.A
Q. CREMA POUCH  X 4 KG LA PAULINA,PAULINA LACTEOS,MOLFINO HNOS S.A.
"Q. CREMATTO POUCH X 3,5 KG MILKAUT",MILKAUT LACTEOS,MILKAUT SA
Q. CREMOSO X KG TREGAR,TREGAR QUESOS,GARCIA HNOS AGROINDUSTRIAL SRL
Q. CREMOSO X KG VACALIN,VACALIN LACTEOS,ERNESTO RODRIGUEZ E HIJOS SA
Q. CRIOLLO X KG TREGAR,TREGAR QUESOS,GARCIA HNOS AGROINDUSTRIAL SRL
Q. DAMBO X KG TREGAR,TREGAR QUESOS,GARCIA HNOS AGROINDUSTRIAL SRL
"Q. DE CERDO X 2,5 KG PALADINI",PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
Q. FETAS PROVOLONE X 8 U TONADITA,TONADITA,ELCOR S.A
Q. FETAS X 8 U (AMERICANO) TONADITA,TONADITA,ELCOR S.A
Q. FONTINA X KG TREGAR,TREGAR QUESOS,GARCIA HNOS AGROINDUSTRIAL SRL
Q. MASCARPONE TREGAR X 200 GRS,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
Q. MOZZ CILINDRO X 3 KG VACALIN,VACALIN LACTEOS,ERNESTO RODRIGUEZ E HIJOS SA
Q. MOZZA P/FETEAR X KG LA PAULINA,PAULINA LACTEOS,MOLFINO HNOS S.A.
Q. PARMESANO 1/2 HORMA X KG VAQUERO,VAQUERO QUESOS,CASARIAS S.A.
Q. PARMESANO HORMA X KG NONNA PIA,NONNA PIA LACTEOS,PARRILAC S.R.L
Q. PATEGRAS X KG LA PAULINA,PAULINA LACTEOS,MOLFINO HNOS S.A.
Q. PATEGRAS X KG TREGAR,TREGAR QUESOS,GARCIA HNOS AGROINDUSTRIAL SRL
