dsArticulo,marca_linea,proveedor_ref
YOGURT DESC FRUTAL FRUT X160 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT ENT C-CEREAL X 164 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT ENTERO C-GRANOLA X 155GRS,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT FIRME ENT FRUT X 170 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT FRUTAL ANA X 160 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT FRUTAL ARAND X 160 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT FRUTAL CER X 160 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT FRUTAL DUR X 160 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT FRUTAL FRUT X 160 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT NATURAL ENDULZADO X 140 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT NATURAL ENDULZADO X 280 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT NATURAL S-AZUCAR X 140GRS,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
YOGURT NATURAL S-AZUCAR X 280 GRS,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
